"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","44.903","+285","1.440","13,0","1.867"
"3","Bayern","61.561","+403","2.415","18,5","2.645"
"4","Berlin","12.216","+126","529","14,1","226"
"5","Branden­burg","4.003","+19","66","2,6","169"
"6","Bremen","2.117","+8","61","8,9","58"
"7","Hamburg","6.770","+71","266","14,4","267"
"8","Hessen","16.714","+111","663","10,6","538"
"9","Meck­lenburg-
Vor­pommern","1.055","+9","30","1,9","20"
"10","Nieder­sachsen","17.783","+138","524","6,6","667"
"11","Nord­rhein-West­falen","61.820","+315","1.619","9,0","1.828"
"12","Rhein­land-Pfalz","9.649","+26","323","7,9","246"
"13","Saarland","3.225","+3","32","3,2","175"
"14","Sachsen","6.351","+69","202","5,0","226"
"15","Sachsen-Anhalt","2.330","+16","49","2,2","66"
"16","Schles­wig-Holstein","4.218","+11","99","3,4","161"
"17","Thüringen","3.765","+20","79","3,7","188"
"18","Gesamt","258.480","+1.630","8.397","10,1","9.347"
