"","Bundes.land","Elektro.nisch.über.mittelte.Fälle","Elektro.nisch.über.mittelte.Fälle.1","Elektro.nisch.über.mittelte.Fälle.2","Elektro.nisch.über.mittelte.Fälle.3","Elektro.nisch.über.mittelte.Fälle.4"
"1","","An­zahl","Dif­fe­renz
zum 
Vor­tag","Fälle
in den 
letzten
7 Tagen","7-Tage-
Inzi­denz","Todes­fälle"
"2","Baden-Württem­berg","44.396","+278","1.500","13,6","1.868"
"3","Bayern","60.759","+638","2.396","18,3","2.644"
"4","Berlin","11.951","+72","459","12,2","226"
"5","Branden­burg","3.966","+7","64","2,5","169"
"6","Bremen","2.094","+9","58","8,5","58"
"7","Hamburg","6.626","+99","213","11,6","267"
"8","Hessen","16.500","+125","698","11,1","537"
"9","Meck­lenburg-
Vor­pommern","1.044","+6","29","1,8","20"
"10","Nieder­sachsen","17.572","+118","495","6,2","665"
"11","Nord­rhein-West­falen","61.201","+323","1.589","8,9","1.827"
"12","Rhein­land-Pfalz","9.560","+77","343","8,4","245"
"13","Saarland","3.218","+10","48","4,8","175"
"14","Sachsen","6.255","+64","160","3,9","225"
"15","Sachsen-Anhalt","2.305","+15","42","1,9","66"
"16","Schles­wig-Holstein","4.197","+29","108","3,7","161"
"17","Thüringen","3.722","+22","66","3,1","188"
"18","Gesamt","255.366","+1.892","8.268","9,9","9.341"
